Libellé Gare	Voyageurs	Commune	Département	coordonnees_geographiques
Urt	O	Urt	Pyrénées-Atlantiques	"43.4993917615,-1.29978028502"
Bayonne	O	Bayonne	Pyrénées-Atlantiques	"43.496947825,-1.47066304059"
Riscle	N	Riscle	Gers	"43.6532317084,-0.0861879193153"
St-Martin-d'Oney	O	St-Martin-d'Oney	Landes	"43.9300593582,-0.651690105848"
Dax	O	Dax	Landes	"43.7209005092,-1.05034524565"
Bordeaux-St-Jean	O	Bordeaux	Gironde	"44.8259231021,-0.55597751649"
Pierroton	O	Cestas	Gironde	"44.7372283267,-0.76423110848"
Basta-les-Forges	N	St-Vincent-de-Paul	Landes	"43.7682302983,-1.00326641772"
Dax	O	Dax	Landes	"43.7209005092,-1.05034524565"
St-Geours-de-Maremne	O	St-Geours-de-Maremne	Landes	"43.6712769752,-1.24107134984"
Ychoux	O	Ychoux	Landes	"44.32915487,-0.94602841823"
Dax	O	Dax	Landes	"43.7209005092,-1.05034524565"
Arcachon	O	Arcachon	Gironde	"44.6588406941,-1.16531195925"
Villefranque (Pyrénées-Atlantique	O	Villefranque	Pyrénées-Atlantiques	"43.4314751547,-1.45645917393"
Arudy	N	Arudy	Pyrénées-Atlantiques	"43.1035780555,-0.434561195478"
Montréjeau-Gourdan-Polignan	O	Montréjeau	Haute-Garonne	"43.0780814211,0.573340736738"
Thuès-les-Bains	O	Nyer	Pyrénées-Orientales	"42.5288845141,2.24912895475"
Serdinya	O	Serdinya	Pyrénées-Orientales	"42.5669818562,2.3232219953"
Ste-Léocadie	O	Ste-Léocadie	Pyrénées-Orientales	"42.4413080406,2.01076916608"
Bourg-Madame	O	Bourg-Madame	Pyrénées-Orientales	"42.4324133393,1.94868397864"
Joncet	O	Serdinya	Pyrénées-Orientales	"42.5615391142,2.31124594764"
Vernet-d'Ariège	O	Le Vernet	Ariège	"43.1893461456,1.61160707321"
Latour-de-Carol-Enveitg	O	Enveitg	Pyrénées-Orientales	"42.4589159701,1.90443561589"
Carcassonne	O	Carcassonne	Aude	"43.2182551766,2.35272841812"
Couffoulens-Leuc	O	Couffoulens	Aude	"43.1551972204,2.31689561647"
Couiza-Montazels	O	Montazels	Aude	"42.9424106273,2.24822489127"
Campagne	O	Campagne-sur-Aude	Aude	"42.9167479495,2.20548864006"
Rivesaltes	O	Rivesaltes	Pyrénées-Orientales	"42.766340556,2.86775128233"
Port-Vendres-Ville	O	Port-Vendres	Pyrénées-Orientales	"42.5133743008,3.1026826097"
Port-Vendres-Ville	O	Port-Vendres	Pyrénées-Orientales	"42.5133743008,3.1026826097"
Le Soler	O	Le Soler	Pyrénées-Orientales	"42.6780799757,2.7876024381"
St-Féliu-d'Avall	O	St-Féliu-d'Avall	Pyrénées-Orientales	"42.6773133543,2.73789073209"
Neuville-aux-Bois	N	Neuville-aux-Bois	Loiret	"48.0707534223,2.058897684"
Ascoux	N	Ascoux	Loiret	"48.1375709485,2.25304962986"
Bellegarde-Quiers	N	Quiers-sur-Bézonde	Loiret	"47.9949815523,2.44038000842"
Gien	O	Gien	Loiret	"47.6988786412,2.63675735048"
St-Germain-du-Puy	O	St-Germain-du-Puy	Cher	"47.0963219985,2.48445227339"
Marmagne	O	Marmagne	Cher	"47.0999025172,2.28279464271"
Bengy	O	Bengy-sur-Craon	Cher	"47.0000164126,2.74976372385"
La Guerche-sur-l'Aubois	O	La Guerche-sur-l'Aubois	Cher	"46.9476293778,2.94855234921"
Saincaize	O	Saincaize-Meauce	Nièvre	"46.9312703304,3.07162376378"
Bourges	O	Bourges	Cher	"47.0946181367,2.3943230909"
Cournonterral	N	Cournonterral	Hérault	"43.5422779248,3.74080457074"
Montpellier-St-Roch	O	Montpellier-St-Roch	Hérault	"43.6060910754,3.88275750945"
Lignerolles (Allier)	O	Lignerolles	Allier	"46.2782413717,2.57555859019"
Teillet-Argenty	O	Teillet-Argenty	Allier	"46.2463064891,2.52016669977"
St-Amand-Montrond-Orval	O	Orval	Cher	"46.7264324681,2.48579147754"
Évaux-les-Bains	O	Évaux-les-Bains	Creuse	"46.1702571591,2.47950662446"
Argenton-sur-Creuse	O	Argenton-sur-Creuse	Indre	"46.5946804847,1.51592794382"
Lavaufranche	O	Lavaufranche	Creuse	"46.3212777095,2.27026448689"
Capdenac	O	Capdenac-Gare	Aveyron	"44.5786662379,2.0773789711"
Rodez	O	Rodez	Aveyron	"44.3631903859,2.57785056356"
Busseau-sur-Creuse	O	Ahun	Creuse	"46.1230367382,2.02384436486"
Vieilleville	O	Miouroux-Vieilleville	Creuse	"46.0912050674,1.67356927075"
Bourganeuf	N	Bourganeuf	Creuse	"45.957148809,1.75724881528"
Villefranche-d'Allier	N	Villefranche-d'Allier	Allier	"46.4019940739,2.85301744677"
Commentry	O	Commentry	Allier	"46.2952684158,2.74015518272"
Bellenaves	O	Bellenaves	Allier	"46.1993421125,3.06661488746"
Lapeyrouse	O	Lapeyrouse	Puy-de-Dôme	"46.226726412,2.8938266647"
Charbonnières-les-Varennes	N	Charbonnières-les-Varennes	Puy-de-Dôme	"45.8851738552,2.9611477667"
Volvic	O	Volvic	Puy-de-Dôme	"45.8647300503,3.00342466059"
La Miouze-Rochefort	O	Gelles	Puy-de-Dôme	"45.7636690801,2.82771318566"
Durtol-Nohanent	O	Durtol	Puy-de-Dôme	"45.7946542913,3.04881841957"
Royat-Chamalières	O	Chamalières	Puy-de-Dôme	"45.7677376714,3.06164153425"
Busseau-sur-Creuse	O	Busseau-sur-Creuse	Creuse	"46.1230367382,2.02384436486"
Barsanges	O	Pérols-sur-Vézère	Corrèze	"45.566098799,2.01884486691"
Meymac	O	Meymac	Corrèze	"45.5300299969,2.16369786129"
Ussel	O	Ussel	Corrèze	"45.5574685122,2.31446819622"
Aix-la-Marsalouse	O	Aix	Corrèze	"45.6140640481,2.39848765633"
St-Léonard-de-Noblat	O	St-Léonard-de-Noblat	Haute-Vienne	"45.8321510984,1.48163296388"
Eymoutiers-Lac-de-Vassivière	O	Eymoutiers	Haute-Vienne	"45.7397309233,1.74044939203"
Capdenac	O	Capdenac-Gare	Aveyron	"44.5786662379,2.0773789711"
Villeneuve-d'Aveyron	O	Villeneuve	Aveyron	"44.4290860679,2.0661675244"
Monteils	O	Monteils	Aveyron	"44.2711493075,2.00328622976"
Najac	O	Najac	Aveyron	"44.2224646526,1.97648914887"
Gragnague	O	Gragnague	Haute-Garonne	"43.6965261898,1.56781129447"
Rocamadour-Padirac	O	Rocamadour	Lot	"44.818190489,1.65747141764"
Flaujac	O	Durbans	Lot	"44.7037599637,1.80197661257"
Rabastens-Couffouleux	O	Coufouleux	Tarn	"43.8199252658,1.73149523368"
Laguépie	O	Laguépie	Tarn-et-Garonne	"44.1454788257,1.96943433163"
Maurs	O	Maurs	Cantal	"44.7060257542,2.19982997353"
Viescamp-sous-Jalles	O	Lacapelle-Viescamp	Cantal	"44.9161710827,2.29709975207"
Ytrac	O	Ytrac	Cantal	"44.9105561233,2.36453100809"
Vic-sur-Cère	O	Vic-sur-Cère	Cantal	"44.9758291496,2.63160670472"
Le Lioran	O	Laveissière	Cantal	"45.0904850502,2.75367679436"
Neussargues	O	Neussargues-Moissac	Cantal	"45.1252790145,2.97912432532"
Tournemire-Roquefort	O	Tournemire	Aveyron	"43.9699818963,3.01659136269"
St-Rome-de-Cernon	O	St-Rome-de-Cernon	Aveyron	"44.0139934691,2.96744545674"
Béziers	O	Béziers	Hérault	"43.3360511894,3.21931516432"
Magalas	O	Magalas	Hérault	"43.4676729284,3.22949881039"
Le Bousquet-d'Orb	O	Le Bousquet-d'Orb	Hérault	"43.6910985364,3.16892739236"
Le Monastier	O	Le Monastier-Pin-Moriès	Lozère	"44.506371975,3.25131729546"
Le Monastier	O	Le Monastier-Pin-Moriès	Lozère	"44.506371975,3.25131729546"
Barjac	O	Barjac	Lozère	"44.4993840735,3.41079361658"
La Bastide-St-Laurent-les-Bains	O	La Bastide-Puylaurent	Lozère	"44.5926778333,3.90383185728"
Faugères	N	Faugères	Hérault	"43.5580762216,3.17969232285"
Sète	O	Sète	Hérault	"43.4127986005,3.69660850545"
Robiac	O	Robiac-Rochessadoule	Gard	"44.2766737062,4.1225877258"
Bessèges	O	Bessèges	Gard	"44.2944737595,4.0926015614"
Robiac	O	Robiac-Rochessadoule	Gard	"44.2766737062,4.1225877258"
Gallargues	O	Gallargues-le-Montueux	Gard	"43.7160491531,4.17126434422"
Sète	O	Sète	Hérault	"43.4127986005,3.69660850545"
Lunel-Viel	O	Lunel-Viel	Hérault	"43.6811269626,4.09361389978"
Vic-Mireval	O	Vic-la-Gardiole	Hérault	"43.5007765271,3.79951979059"
Uzès	N	Uzès	Gard	"44.0178711116,4.39971346279"
Sernhac	N	Sernhac	Gard	"43.9085642502,4.55293856446"
Ribaute-lès-Tavernes	N	Ribaute-les-Tavernes	Gard
Lézan	N	Lézan	Gard	"44.0424102262,4.11488217736"
Lézan	N	Lézan	Gard	"44.0424102262,4.11488217736"
Générac	O	Générac	Gard	"43.7323950198,4.34341841823"
Orthez	O	Orthez	Pyrénées-Atlantiques	"43.4840458145,-0.767112937335"
Baigts-de-Béarn	N	Baigts-de-Béarn	Pyrénées-Atlantiques	"43.5103109625,-0.845773648803"
Castelnau-Rivière-Basse	N	Castelnau-Rivière-Basse	Hautes-Pyrénées	"43.5976886671,-0.0175497145808"
Andrest	N	Andrest	Hautes-Pyrénées	"43.3185100297,0.0686000465534"
Arengosse	O	Arengosse	Landes	"44.0068678007,-0.809382127726"
Grenade-sur-l'Adour	N	Grenade-sur-l'Adour	Landes	"43.7773037715,-0.424887042138"
Hagetmau	N	Hagetmau	Landes	"43.6592420376,-0.583487362764"
Peyrouton	N	Dax	Landes	"43.6989835574,-1.05443982575"
Mauco-Benquet	N	Haut-Mauco	Landes	"43.8326726458,-0.535262666167"
Marcheprime	O	Marcheprime	Gironde	"44.6905389989,-0.853747624379"
Talence-Médoquine	N	Talence	Gironde	"44.8169107642,-0.598789946133"
Lugos	N	Lugos	Gironde	"44.4439530678,-0.970059438508"
Saubusse-les-Bains	O	Saubusse	Landes	"43.6602335293,-1.19027805022"
Bénesse-Maremne	O	Bénesse-Maremne	Landes	"43.6275994871,-1.37003879983"
Ondres	O	Ondres	Landes	"43.5687877901,-1.45689603853"
Biarritz	O	Biarritz	Pyrénées-Atlantiques	"43.4590390673,-1.54670119613"
Les Deux Jumeaux	O	Hendaye	Pyrénées-Atlantiques	"43.3699752964,-1.7643241391"
Hendaye	O	Hendaye	Pyrénées-Atlantiques	"43.3533385433,-1.78211211997"
Gujan-Mestras	O	Gujan-Mestras	Gironde	"44.6406613936,-1.06887021673"
Bayonne	O	Bayonne	Pyrénées-Atlantiques	"43.496947825,-1.47066304059"
Bayonne	O	Bayonne	Pyrénées-Atlantiques	"43.496947825,-1.47066304059"
Ustaritz	O	Ustaritz	Pyrénées-Atlantiques	"43.4046359473,-1.4488471084"
Jatxou	O	Ustaritz	Pyrénées-Atlantiques	"43.391035368,-1.44473721801"
Halsou-Larressore	O	Halsou	Pyrénées-Atlantiques	"43.378282403,-1.42810299736"
Ossès-St-Martin-d'Arrossa	O	St-Martin-d'Arrossa	Pyrénées-Atlantiques	"43.2353121736,-1.30495931146"
Ossès-St-Martin-d'Arrossa	O	St-Martin-d'Arrossa	Pyrénées-Atlantiques	"43.2353121736,-1.30495931146"
Oloron-Ste-Marie	O	Oloron-Ste-Marie	Pyrénées-Atlantiques	"43.1947560025,-0.612202258706"
Buzy-en-Béarn	O	Buzy	Pyrénées-Atlantiques	"43.1482182336,-0.455839308386"
Sarrancolin	N	Sarrancolin	Hautes-Pyrénées	"42.9688372845,0.379339226658"
Nyers	O	Souanyas	Pyrénées-Orientales	"42.541645038,2.26302599757"
Sauto	O	Sauto	Pyrénées-Orientales	"42.5061788207,2.15973842003"
Planès	O	Planès	Pyrénées-Orientales	"42.5010372014,2.13688778089"
Bolquère-Eyne	O	Bolquère	Pyrénées-Orientales	"42.498295605,2.08488489077"
Saverdun	O	Saverdun	Ariège	"43.2393788226,1.57069350464"
St-Jean-de-Verges	O	Crampagna	Ariège	"43.0122071141,1.60807890181"
Portet-St-Simon	O	Portet-St-Simon	Haute-Garonne	"43.5271423053,1.38837924635"
Pins-Justaret	O	Pins-Justaret	Haute-Garonne	"43.4788914373,1.39973147791"
Limoux-Flassian	O	Limoux	Aude	"43.0684545921,2.21854978643"
Espéraza	O	Espéraza	Aude	"42.9357975621,2.21824334931"
Quillan	O	Quillan	Aude	"42.8736092777,2.18174451003"
Axat (Aude)	N	Axat	Aude	"42.8029364645,2.22725851959"
Lapradelle	N	Puilaurens	Aude	"42.8107078222,2.31300881838"
St-Paul-de-Fenouillet	N	St-Paul-de-Fenouillet	Pyrénées-Orientales	"42.8118424697,2.50696411477"
Espira-de-l'Agly	N	Espira-de-l'Agly	Pyrénées-Orientales	"42.7722946324,2.83335149441"
Port-la-Nouvelle	O	Port-la-Nouvelle	Aude	"43.0198673792,3.03871163893"
Leucate-la-Franqui	O	Leucate	Aude	"42.9326543754,3.01275420323"
Elne	O	Elne	Pyrénées-Orientales	"42.5971934896,2.96348305071"
Collioure	O	Collioure	Pyrénées-Orientales	"42.5267670147,3.07820279292"
Cerbère	O	Cerbère	Pyrénées-Orientales	"42.4422290623,3.16465810506"
Vinça	O	Vinça	Pyrénées-Orientales	"42.6477353168,2.526939018"
Prades-Molitg-les-Bains	O	Prades	Pyrénées-Orientales	"42.6170496184,2.42941789748"
Villefranche-Vernet-les-Bains	O	Fuilla	Pyrénées-Orientales	"42.5914581884,2.37003027167"
La Guerche-sur-l'Aubois	O	La Guerche-sur-l'Aubois	Cher	"46.9476293778,2.94855234921"
Bourges	O	Bourges	Cher	"47.0946181367,2.3943230909"
Sermaises-du-Loiret	N	Sermaises	Loiret	"48.2932483895,2.20812795213"
Vitry-aux-Loges	N	Vitry-aux-Loges	Loiret	"47.9463205058,2.26273690825"
Boiscommun	N	Boiscommun	Loiret
St-Benoît-St-Aignan	N	St-Aignan-des-Gués	Loiret	"47.8420295791,2.32220796522"
Les Bordes	N	Les Bordes	Loiret	"47.8113196061,2.39872465856"
Cosne	O	Cosne-Cours-sur-Loire	Nièvre	"47.4139013523,2.93226034822"
Foëcy	O	Foëcy	Cher	"47.1756387386,2.16264537366"
Moulins-sur-Yèvre	N	Moulins-sur-Yèvre	Cher	"47.0825275503,2.51727507232"
Nérondes	O	Nérondes	Cher	"46.9995359366,2.82258479806"
Villeveyrac	N	Villeveyrac	Hérault	"43.5167297398,3.61126175762"
La Chapelle-St-Ursin-Morthomiers	N	La Chapelle-St-Ursin	Cher	"47.046894888,2.30166569778"
Lunery	O	Lunery	Cher	"46.9350411584,2.27512155951"
Châteauneuf-sur-Cher	O	Châteauneuf-sur-Cher	Cher	"46.8557665636,2.31163201898"
Budelière-Chambon	O	Budelière	Creuse	"46.2025813307,2.46300651255"
Létrade	O	Mérinchal	Creuse	"45.8845229236,2.4904827417"
Châteauroux	O	Châteauroux	Indre	"46.8110634658,1.70343176299"
La Châtre	N	Montgivray	Indre	"46.5911044951,1.98525981991"
Aubin	O	Aubin	Aveyron	"44.5275742297,2.23875575342"
St-Christophe	O	St-Christophe-Vallon	Aveyron	"44.4646638231,2.40761084965"
Huriel	O	Huriel	Allier	"46.3714404581,2.47618909571"
Vieilleville	O	Mourioux-Vieilleville	Creuse	"46.0912050674,1.67356927075"
Commentry	O	Commentry	Allier	"46.2952684158,2.74015518272"
Manzat	N	Manzat	Puy-de-Dôme	"45.9050781902,2.93171636989"
Lavaveix-les-Mines	O	Lavaveix-les-Mines	Creuse	"46.0788991819,2.08920013847"
Aubusson	O	Aubusson	Creuse	"45.960536394,2.16076679986"
Viam	N	Viam	Corrèze	"45.6215515203,1.89688410111"
Jassonneix	O	Meymac	Corrèze	"45.5436111267,2.13970874446"
St-Priest-Taurion	O	St-Priest-Taurion	Haute-Vienne	"45.8872223356,1.40066981936"
Montaignac-St-Hippolyte	O	Montaignac-St-Hippolyte	Corrèze	"45.3546806787,1.97989506527"
Salles-Courbatiès	O	Salles-Courbatiès	Aveyron	"44.4755381814,2.07921506999"
Villefranche-de-Rouergue	O	Villefranche-de-Rouergue	Aveyron	"44.3476703487,2.03717098103"
Puybrun	O	Puybrun	Lot	"44.9217166168,1.78426265668"
Laval-de-Cère	O	Laval-de-Cère	Lot	"44.951170798,1.93170570821"
Sommery	O	Sommery	Seine-Maritime	"49.6294630643,1.43577676984"
Ste-Segrée	O	Ste-Segrée	Somme	"49.7522765939,1.91294073744"
Chepy-Valines	O	Chépy	Somme	"50.0682733346,1.63587752441"
Noyelles	O	Noyelles-sur-Mer	Somme	"50.1873874935,1.70477777281"
Feuquières-Broquiers	O	Feuquières	Oise	"49.6545105446,1.83108154711"
Moliens	O	Moliens	Oise	"49.6635020592,1.80387372996"
St-Omer-en-Chaussée	O	St-Omer-en-Chaussée	Oise	"49.5301832725,1.99693742452"
Bouffemont-Moisselles	O	Bouffémont	Val-d'Oise	"49.0451900578,2.32296817225"
St-Leu-la-Forêt	O	St-Leu-la-Forêt	Val-d'Oise	"49.0154102624,2.24271705628"
St-Leu-d'Esserent	O	St-Leu-d'Esserent	Oise	"49.2144325456,2.41827159304"
Le Petit-Thérain	N	St-Leu-d'Esserent	Oise	"49.2321069337,2.4364574226"
Arques-la-Bataille	N	Arques-la-Bataille	Seine-Maritime	"49.8806417533,1.1342407602"
Rouxmesnil	N	Rouxmesnil-Bouteilles	Seine-Maritime	"49.8949037156,1.11379866267"
Épinay-Villetaneuse	O	Épinay-sur-Seine	Seine-St-Denis	"48.9579620441,2.32853260763"
La Barre-Ormesson	O	Deuil-la-Barre	Val-d'Oise	"48.9668719656,2.31582484307"
Pierrelaye	O	Pierrelaye	Val-d'Oise	"49.019370519,2.15376536101"
St-Ouen-l'Aumône-Liesse	O	St-Ouen-l'Aumône	Val-d'Oise	"49.0338929523,2.12845278752"
Beauvais	O	Beauvais	Oise	"49.4263479971,2.08871258283"
Asnières-sur-Seine	O	Asnières-sur-Seine	Hauts-de-Seine	"48.9055284828,2.2842264834"
Bois-Colombes	O	Bois-Colombes	Hauts-de-Seine	"48.9133995169,2.2725699876"
Pont-Cardinet	O	Paris-17	Paris	"48.887783356,2.31463148797"
Chanteloup-les-Vignes	O	Chanteloup-les-Vignes	Yvelines	"48.970352091,2.02750223499"
Meulan-Hardricourt	O	Hardricourt	Yvelines	"49.005767583,1.90198004457"
Gargenville	O	Gargenville	Yvelines	"48.983008234,1.8091924583"
Le Stade	O	Colombes	Hauts-de-Seine	"48.9311851663,2.26064340527"
Sannois	O	Sannois	Val-d'Oise	"48.9701203459,2.26401059968"
Conflans-Ste-Honorine	O	Conflans-Ste-Honorine	Yvelines	"48.9971036459,2.09853941965"
Gisors	O	Gisors	Eure	"49.2853005291,1.78493754282"
Val-de-Reuil	O	Val-de-Reuil	Eure	"49.2755027536,1.22486366577"
Vernon-Giverny	O	Vernon	Eure	"49.0911500174,1.47849413533"
La Garenne-Colombes	O	La Garenne-Colombes	Hauts-de-Seine	"48.9096975849,2.23980945452"
St-Étienne-du-Rouvray	O	St-Étienne-du-Rouvray	Seine-Maritime	"49.3771000644,1.109589106"
Malaunay-Le Houlme	O	Le Houlme	Seine-Maritime	"49.5133309659,1.03970388663"
Foucart-Alvimare	O	Foucart	Seine-Maritime	"49.6082977182,0.597081364106"
Harfleur	O	Harfleur	Seine-Maritime	"49.5136327113,0.199086552545"
Maisons-Laffitte	O	Maisons-Laffitte	Yvelines	"48.9455844753,2.14473523484"
Les Mureaux	O	Les Mureaux	Yvelines	"48.9953282253,1.92293536797"
Port-Villez	O	Port-Villez	Yvelines	"49.0611533827,1.52443342705"
Charleval	N	Charleval	Eure	"49.3682357245,1.38053480758"
Auffay	O	Auffay	Seine-Maritime	"49.7161908465,1.09844048537"
Longueville-sur-Scie	O	Longueville-sur-Scie	Seine-Maritime	"49.7917569232,1.11061160956"
St-Ouen-du-Breuil	N	St-Ouen-du-Breuil	Seine-Maritime	"49.6407701424,1.01081329159"
Motteville	O	Motteville	Seine-Maritime	"49.6365344189,0.850003172369"
St-Valéry-en-Caux	N	St-Valéry-en-Caux	Seine-Maritime	"49.8610654956,0.71310925995"
Grainville-Ymauville	O	Grainville-Ymauville	Seine-Maritime	"49.6562068054,0.407131815411"
Harfleur-Halte	O	Harfleur	Seine-Maritime	"49.5060179251,0.192179896468"
Lisieux	O	Lisieux	Calvados	"49.1383383611,0.23048053465"
Bayeux	O	Bayeux	Calvados	"49.2695810754,-0.698300894083"
Évreux-Embranchement	O	Évreux	Eure	"49.0183852754,1.15041907309"
Conches	O	Conches-en-Ouche	Eure	"48.9621540734,0.937936701423"
Serquigny	O	Serquigny	Eure	"49.1080724854,0.718682267397"
Bernay	O	Bernay	Eure	"49.0870388413,0.595806572232"
Oissel	O	Oissel	Seine-Maritime	"49.3430267235,1.10227939354"
Pont-Audemer	N	Pont-Audemer	Eure	"49.3519966355,0.514641954107"
Honfleur	N	La Rivière-St-Sauveur	Calvados	"49.4208214713,0.26746263139"
Mézidon	O	Mézidon-Canon	Calvados	"49.0708826231,-0.0750823731812"
Dives-sur-Mer-Port-Guillaume	O	Dives-sur-Mer	Calvados	"49.2910273086,-0.100875408011"
Houlgate	O	Houlgate	Calvados	"49.3000227237,-0.0771762268234"
Villers-sur-Mer	O	Villers-sur-Mer	Calvados	"49.3158744007,0.0100535964686"
Le Grand-Jardin	O	Lisieux	Calvados	"49.1504545458,0.227291666531"
Nonancourt	O	Nonancourt	Eure	"48.7756072684,1.19283979364"
Marchezais-Broué	O	Broué	Eure-et-Loir	"48.7683066387,1.51366137853"
St-Cyr	O	St-Cyr-l'École	Yvelines	"48.7986131764,2.0727357995"
Plaisir-Grignon	O	Plaisir	Yvelines	"48.8321281403,1.94146594645"
Garancières-la-Queue	O	Garancières	Yvelines	"48.8104312848,1.76481894421"
Maule	O	Maule	Yvelines	"48.9092427139,1.85731834306"
Granville	O	Granville	Manche	"48.8387618239,-1.5868716325"
Écouché	O	Écouché	Orne	"48.7148376374,-0.120968826625"
Theuvy-Achères	N	Tremblay-les-Villages	Eure-et-Loir	"48.5704313757,1.33520444609"
Bailleau-l'Évêque	N	Bailleau-l'Évêque	Eure-et-Loir	"48.4942508611,1.40717060792"
St-Lô	O	St-Lô	Manche	"49.1167063123,-1.10024857278"
Broons	O	Broons	Côte-d'Armor	"48.3333701069,-2.23584863586"
Châtelaudren-Plouagat	O	Plouagat	Côte-d'Armor	"48.5332333963,-2.97416493496"
Plounérin	O	Plounérin	Côte-d'Armor	"48.5813050971,-3.5691592174"
Nogent-le-Rotrou	O	Nogent-le-Rotrou	Eure-et-Loir	"48.3256833523,0.810167196425"
Maintenon	O	Maintenon	Eure-et-Loir	"48.5856220952,1.59265225817"
Amilly-Ouerray	O	Amilly	Eure-et-Loir	"48.43830057,1.38924510534"
Noyal-Acigné	O	Noyal-sur-Vilaine	Ille-et-Vilaine	"48.1188944577,-1.52841295005"
Voutré	O	Voutré	Mayenne	"48.1340285963,-0.292314504188"
Louverné	O	Louverné	Mayenne	"48.1088810655,-0.714321788179"
Laval	O	Laval	Mayenne	"48.0763435971,-0.7608589128"
Port-Brillet	O	Port-Brillet	Mayenne	"48.110654664,-0.973958871413"
Le Theil-La Rouge	O	La Rouge	Orne	"48.2672740994,0.694307756397"
Sceaux-Boësse	O	Boëssé-le-Sec	Sarthe	"48.1223313265,0.572453196966"
Le Mans	O	Le Mans	Sarthe	"47.9949627836,0.19373767762"
La Milesse-La Bazoge	N	La Milesse	Sarthe	"48.0822291454,0.138645500183"
Rouessé-Vassé	O	Rouessé-Vassé	Sarthe	"48.1602602218,-0.200093331889"
Versailles-Chantiers	O	Versailles	Yvelines	"48.7955151287,2.13615283428"
Trappes-Marchandises	N	Trappes	Yvelines	"48.7699577589,1.99206112726"
Les Essarts-le-Roi	O	Les Essarts-le-Roi	Yvelines	"48.721905673,1.89007516695"
La Loupe	O	La Loupe	Eure-et-Loir	"48.4739050761,1.01074325191"
Sillé-le-Guillaume	O	Sillé-le-Guillaume	Sarthe	"48.1816672142,-0.128880939967"
Alençon	O	Alençon	Orne	"48.4339402042,0.0991464020626"
La Guierche	O	La Guierche	Sarthe	"48.1140539231,0.193217776544"
La Hutte-Coulombiers	O	Coulombiers	Sarthe	"48.3033130543,0.105746051092"
Neuville-sur-Sarthe	O	Neuville-sur-Sarthe	Sarthe	"48.0703977604,0.199790147529"
Auneau	O	Roinville	Eure-et-Loir	"48.4324552658,1.76848870909"
La Lacelle	N	Lalacelle	Orne	"48.4746614476,-0.127760459287"
Briouze	O	Briouze	Orne	"48.7020274482,-0.36745991497"
Vitré	O	Vitré	Ille-et-Vilaine	"48.122529335,-1.21236553553"
Sarcelles-St-Brice	O	St-Brice-sous-Forêt	Val-d'Oise	"48.9952123686,2.36848907175"
Domont	O	Domont	Val-d'Oise	"49.0328058361,2.33767050269"
Cergy-St-Christophe	O	Cergy	Val-d'Oise	"49.0496333571,2.03428786135"
Ermont-Eaubonne	O	Ermont	Val-d'Oise	"48.9808247345,2.27123637617"
Ermont-Halte	O	Ermont	Val-d'Oise	"48.9907494442,2.26318606008"
Vaucelles	O	Taverny	Val-d'Oise	"49.0215908802,2.2297938898"
Bessancourt	O	Bessancourt	Val-d'Oise	"49.0357313665,2.20985968136"
Pont-Petit	O	St-Ouen-l'Aumône	Val-d'Oise	"49.0615418182,2.13189946327"
Liancourt-St-Pierre	O	Liancourt-St-Pierre	Oise	"49.2205738009,1.90554077034"
Gournay-Ferrières	O	Ferrières-en-Bray	Seine-Maritime	"49.4815139167,1.7382283189"
Franconville-Plessis-Bouchard	O	Franconville	Val-d'Oise	"48.993432538,2.23492335766"
Montigny-Beauchamp	O	Montigny-lès-Cormeilles	Val-d'Oise	"49.007331979,2.19794080016"
Osny	O	Osny	Val-d'Oise	"49.0629364721,2.05788773358"
Chars	O	Chars	Val-d'Oise	"49.1626116306,1.93695919415"
Conflans-Fin-d'Oise	O	Conflans-Ste-Honorine	Yvelines	"48.9890447344,2.07458266139"
Thun-le-Paradis	O	Meulan	Yvelines	"49.0067851999,1.92015633793"
Juziers	O	Juziers	Yvelines	"48.992206807,1.84581806125"
Issou-Porcheville	O	Issou	Yvelines	"48.9792506415,1.78538331723"
Pont-Cardinet	O	Paris-17	Paris	"48.887783356,2.31463148797"
Argenteuil	O	Argenteuil	Val-d'Oise	"48.9465648464,2.25809093721"
Éragny-Neuville	O	Éragny	Val-d'Oise	"49.0180754151,2.09069344178"
St-Ouen-l'Aumône-Église	O	St-Ouen-l'Aumône	Val-d'Oise	"49.0392802782,2.10363668634"
Achères-Ville	O	Achères	Yvelines	"48.9701144586,2.07778153685"
Clichy-Levallois	O	Levallois-Perret	Hauts-de-Seine	"48.8979541009,2.29743687734"
Paris-St-Lazare	O	Paris-08	Paris	"48.876938841,2.32630331548"
Maromme	O	Notre-Dame-de-Bondeville	Seine-Maritime	"49.4799237437,1.05081236467"
Yvetot	O	Yvetot	Seine-Maritime	"49.622211052,0.750169349383"
Bréauté-Beuzeville	O	Bréauté	Seine-Maritime	"49.6034564847,0.416942488414"
Étainhus-St-Romain	O	Étainhus	Seine-Maritime	"49.560622553,0.330444259411"
Sartrouville	O	Sartrouville	Yvelines	"48.9376304677,2.15698575255"
Villennes-sur-Seine	O	Villennes-sur-Seine	Yvelines	"48.9394735663,1.99966946005"
Aubergenville-Élisabethville	O	Aubergenville	Yvelines	"48.9721230847,1.84848738361"
Mantes-la-Jolie	O	Mantes-la-Ville	Yvelines	"48.9894268478,1.70315591062"
Le Havre-Graville (IE)	O	Le Havre	Seine-Maritime	"49.4997748475,0.160912430784"
