"INSEE";"Appellation courante";"Date de protection";"Statut"
"01283";"Usine électrique la Grande Vapeur, actuellement musée du Peigne";"1988";"propriété de la commune"
"01286";"Pierre à bassins";"1913";"propriété privée"
"01286";"Pierre à bassins";"1913";"propriété privée"
"01289";"Château de Saix";"1987";"propriété privée"
"01290";"Maison";"1929";"propriété d'une association"
"01290";"Rempart attenant à l'immeuble dit maison du sergent de justice";"1921";"propriété privée"
"01290";"Immeubles dits Maison Falconnet";"1941";"propriété privée"
"01290";"Rempart attenant à des immeubles";"1921";"propriété privée"
"01290";"Rempart attenant à la maison Nicolas";"1924";"propriété privée"
"01290";"Ecurie";"1929";"propriété privée"
"01290";"Rempart attenant à un immeuble";"1921";"propriété privée"
"01290";"Maison Janin";"1925";"propriété privée"
"01290";"Maison (restes)";"1929";"propriété d'une association"
"01290";"Maisons et remparts qui en dépendent";"1921";"propriété privée"
"01290";"Rempart attenant à un immeuble";"1921";"propriété privée"
"01290";"Maison Perrin";"1921";"propriété d'une association"
"01290";"Eglise Sainte-Marie-Madeleine";"1912";"propriété de la commune"
"01290";"Maison Salomon";"1924";"propriété privée"
"01290";"Maison Mandon (restes)";"1930";"propriété d'une association"
"01290";"Rempart attenant à un immeuble";"1921";"propriété privée"
"01290";"Maison Thevenet-Falconnet";"1941";"propriété privée"
"01290";"Immeuble dit Hostellerie du Vieux Pérouges";"1921";"propriété privée"
"01290";"Maison Raynaud-Gaillard";"1941";"propriété privée"
"01290";"Maison Ruivet";"1921";"propriété d'une association"
"01290";"Maison des Dîmes";"1921";"propriété d'une association"
"01290";"Maison Magnin";"1941";"propriété d'une association"
"01290";"Rempart attenant à un immeuble dit maison Moschard";"1921";"propriété d'une association"
"01290";"Maison dite du Cadran Solaire";"1927";"propriété privée"
"01290";"Maison Rouby";"1941";"propriété privée"
"01290";"Porte du mur d'enceinte dite porte d'En-Haut et substructions de la barbacane";"1912";"propriété de la commune"
"01290";"Maison";"1925";"propriété privée"
"01290";"Ecurie Gerlier";"1929";"propriété privée"
"01290";"Maison";"1921";"propriété privée"
"01290";"Maison Sambet-Bailly";"1941";"propriété d'une association"
"01290";"Maison Gagneux";"1929";"propriété d'une association"
"01290";"Immeuble";"1921";"propriété d'une association"
"01290";"Maison Martinet et Grassin";"1921";"propriété d'une association"
"01290";"Maison Devigne";"1930";"propriété d'une association"
"01290";"Maison Peychiers";"1941";"propriété d'une association"
"01290";"Immeuble dit Maison Jean Escoffier";"1921";"propriété d'une association"
"01290";"Hôpital (ancien)";"1929";"propriété privée"
"01290";"Maison Ruyssen";"1929";"propriété privée"
"01290";"école de filles";"1929";"propriété de la commune"
"01290";"Maison Valensot ou Vernay";"1929";"propriété d'une association"
"01290";"Maison Plantier";"1921";"propriété privée"
"01290";"Maisons et remparts qui en dépendent";"1929";"propriété privée"
"01290";"Maisons et remparts qui en dépendent";"1921";"propriété privée"
"01290";"Maison Thimon";"1929";"propriété privée"
"01290";"Maison";"1929";"propriété d'une association"
"01290";"Maisons Jourdan";"1937";"propriété d'une association"
"01290";"Maison Vallet";"1929";"propriété privée"
"01290";"Remparts (restes)";"1929";"propriété privée"
"01290";"Maison du Petit-Saint-Georges";"1929";"propriété privée"
"01290";"Maison Tary";"1930";"propriété privée"
"01290";"Maison Salomon";"1924";"propriété privée"
"01290";"Maison Cazin";"1921";"propriété d'une association"
"01290";"Rempart attenant à un immeuble";"1921";"propriété privée"
"01290";"Maison contiguë à la porte d'En-Haut";"1912";"propriété privée"
"01290";"Maison";"1921";"propriété d'une association"
"01290";"Maisons jumelées : maison Magnin et maison Gaillard";"1921";"propriété privée"
"01290";"Immeuble dit Maison du Prince";"1921";"propriété d'une association"
"01290";"Maison Guedon (ancienne)";"1929";"propriété privée"
"01290";"Maison";"1941";"propriété d'une association"
"01290";"Maison Thibaut";"1924";"propriété d'une association"
"01290";"Rempart attenant à un immeuble";"1921";"propriété privée"
"01290";"Ecurie Schlutz";"1929";"propriété privée"
"01290";"Maison";"1929";"propriété privée"
"01290";"Immeuble";"1921";"propriété d'une association"
"01290";"Maison Gerlier et remparts qui en dépendent";"1921";"propriété privée"
"01290";"Maison Grezin";"1921";"propriété d'une association"
"01290";"Maison Thibault";"1929";"propriété privée"
"01290";"Porte d'En-Bas";"1929";"propriété de la commune"
"01290";"Maison";"1965";"propriété privée"
"01290";"Rempart attenant à un immeuble";"1921";"propriété d'une association"
"01290";"Maison";"1925";"propriété privée"
"01290";"Maison Tacani";"1937";"propriété d'une association"
"01290";"Ecuries";"1937";"propriété privée"
"01290";"Maison";"1929";"propriété de la commune"
"01290";"Maison";"1921";"propriété privée"
"01290";"Maison sise face à la porte d'En-Haut";"1912";"propriété privée"
"01290";"Maison Thevenin";"1921";"propriété privée"
"01290";"Maison Pacard";"1941";"propriété d'une association"
"01290";"Maison et remparts";"1929";"propriété privée"
"01290";"Maison Bache";"1930";"propriété d'une association"
"01290";"Hostellerie du Vieux Pérouges";"1941";"propriété privée"
"01291";"Pigeonnier du Moulin Grand";"1993";"propriété d'une société privée"
"01299";"Eglise Saint-Pierre";"2008";"propriété de la commune"
"01299";"Tour et bâtiment annexe";"1991";"propriété privée"
"01303";"Château";"1970";"propriété privée"
"01304";"Ancien château";"2004";"propriété d'une société privée"
"01305";"maison Racle";"1997";"propriété d'une association cultuelle"
"01306";"Immeuble attenant à la tour de l'Horloge, dit immeuble Dagallier";"1972";"propriété privée"
"01306";"Château";"2020";"Propriété de la commune, propriété de la communauté de communes"
"01306";"Eglise Notre-Dame";"2008";"propriété de la commune"
"01306";"Maison dite logis du gouverneur de Savoie";"1938";"propriété privée"
"01313";"Eglise";"1982";"propriété de la commune"
"01317";"Eglise Saint-Julien-sur-Roche (restes)";"1945";"propriété de la commune"
"01321";"Tour de Deaul (tour résidentielle)";"2003";"propriété privée"
"01323";"Ferme Coulas";"1974";"propriété privée"
"01325";"Croix";"1914";"propriété de la commune"
"01329";"Manoir de La Forest";"2005";"propriété privée"
"01329";"Eglise Saint-Pierre";"1939";"propriété de la commune"
"01332";"Eglise";"1846";"propriété de la commune"
"01333";"Motte castrale";"1989";"propriété privée"
"01334";"Eglise";"1947";"propriété de la commune"
"01335";"Eglise";"1947";"propriété de la commune"
"01339";"Ancien prieuré de La Bruyère dit château de La Bruyère";"1997";"propriété privée"
"01339";"Château";"1997";"propriété privée"
"01343";"Ferme";"1925";"propriété privée"
"01343";"Ferme dite de la Grange du Clou";"1994";"propriété du département"
"01343";"Ferme des Planons";"1938";"propriété privée"
"01343";"Grange des Carons";"1925";"propriété privée"
"01345";"Château (ancien)";"1899";"propriété de la commune"
"01346";"Ferme";"1925";"propriété privée"
"01351";"Moulin de Tallard";"2015";"propriété privée"
"01351";"Château de Beaumont";"2006";"propriété privée"
"01352";"Ferme de Pérignat";"1981";"propriété privée"
"01352";"Ferme";"1925";"propriété privée"
"01353";"Eglise Sainte-Euphémie";"2012";"propriété de la commune"
"01358";"Four banal";"1938";"propriété de la commune"
"01358";"Château de Beauretour";"2003";"propriété privée"
"01359";"Eglise";"1945";"propriété de la commune"
"01362";"Motte castrale";"1989";"propriété privée"
"01363";"Château de Varey";"1983";"propriété d'une association"
"01364";"Eglise";"1972";"propriété de la commune"
"01365";"Eglise Saint-Jean-Baptiste";"1965";"propriété de la commune"
"01366";"Château";"1984";"propriété privée"
"01368";"Eglise";"1945";"propriété de la commune"
"01378";"Eglise Saint-Maurice";"1909";"propriété de la commune"
"01380";"Ferme Bourbon";"1944";"propriété privée"
"01381";"Eglise";"1926";"propriété de la commune"
"01383";"Château";"1981";"propriété privée"
"01383";"Eglise";"1908";"propriété de la commune"
"01384";"Abbaye (ancienne)";"1945";"propriété privée"
"01385";"Eglise";"1926";"propriété de la commune"
"01386";"Eglise";"1938";"propriété de la commune"
"01386";"Fontaine-lavoir de Collonges";"1973";"propriété de la commune"
"01387";"Ferme des Broguets";"1931";"propriété privée"
"01387";"Ferme du Colombier";"1930";"propriété privée"
"01388";"Ferme de Grandval";"1981";"propriété privée"
"01388";"Eglise";"1982";"propriété de la commune"
"01388";"Ferme";"1925";"propriété privée"
"01388";"Ferme de la Servette";"1944";"propriété privée"
"01388";"Ferme du Tremblay";"2003";"propriété d'une association"
"01389";"Remparts";"2005";"propriété de la commune"
"01390";"Chapelle de Marcilleux";"1944";"propriété privée"
"01391";"Calvaire de Dingier";"1951";"propriété de la commune"
"01393";"Eglise";"1926";"propriété de la commune"
"01398";"Château de Juis";"1984";"propriété d'une société privée"
"01400";"Château de la Serraz";"1978";"propriété privée"
"01402";"Gisement préhistorique";"1978";"propriété de la commune"
"01408";"Menhir de Pierrefiche";"1888";"propriété privée"
"01412";"Château de Longes";"1991";"propriété privée"
"01420";"Couvent des Ursulines (ancien)";"1980";"propriété de l'Etat ; propriété privée"
"01427";"Maison dite des Sires de Villars";"1991";"propriété de la commune"
"01427";"Maison Anginieur (ensemble)";"1933";"propriété privée"
"01427";"Château de Corcelles";"1996";"propriété d'une association"
"01427";"Ancien parlement de la Dombes dit également tribunal d'instance ou palais de justice";"2006";"propriété du département"
"01427";"Hôtel du gouverneur des Dombes (ancien)";"1933";"propriété de la commune"
"01427";"Château de Fetan";"1973";"propriété privée"
"01427";"Maison Guerrier";"1933";"propriété privée"
"01427";"Château (ruines de l'ancien)";"1913";"propriété du département"
"01427";"Maison";"1933";"propriété privée"
"01430";"Eglise Sainte-Madeleine";"2012";"propriété de la commune"
"01430";"Château de Varambon";"2007";"propriété privée"
"01432";"Eglise";"1980";"propriété de la commune"
"01433";"Ferme Ferrand";"1944";"propriété privée"
"01433";"Ferme Tricot";"1932";"propriété privée"
"01434";"Eglise";"1927";"propriété de la commune"
"01436";"Château de Vesancy";"2016";"propriété de la commune ; propriété privée"
"01437";"Ferme de Montalibord";"1974";"propriété privée"
"01437";"Ferme de Loscelle";"1944";"propriété privée"
"01443";"Eglise de la Nativité-de-la-Sainte-Vierge";"1927";"propriété de la commune"
"01443";"Motte féodale dite Poype de Villars";"1905";"propriété de l'Etat"
"01446";"Maison-forte de Villon";"1992";"propriété d'une société privée"
"01449";"Eglise";"1992";"propriété de la commune"
"01449";"Château de Richemont";"1927";"propriété privée"
"01450";"Château de Loyes";"2008";"propriété privée"
"01451";"Château de Fleyriat";"2013";"propriété privée"
"01452";"Maison";"1927";"propriété privée"
"01452";"Maison Mugnier";"1927";"propriété privée"
"01452";"Château d'Honoré d'Urfé";"1935";"propriété privée"
"01454";"Ancienne chartreuse de Pierre-Châtel";"2015";"propriété d'une société privée"
"01456";"Eglise";"1976";"propriété de la commune"
"01457";"Domaine de Béost";"2016";"propriété privée"
"02004";"Eglise";"1921";"propriété de la commune"
"02006";"Château de Bernoville";"1997";"propriété privée"
"02008";"Ancienne église";"1911";"propriété de la commune"
"02008";"La Creute du Caïd";"1999";"propriété privée"
"02011";"Eglise";"1907";"propriété de la commune"
"02011";"Donjon";"1929";"propriété d'une société privée"
"02015";"Croix";"1927";"propriété de la commune"
"02016";"Eglise";"1921";"propriété de la commune"
"02021";"Eglise";"1932";"propriété de la commune"
"02022";"Eglise";"1920";"propriété de la commune"
"02022";"Ancien château de Branges";"1928";"propriété privée"
"02023";"Ruines du château d'Armentières avec sa poterne";"1921";"propriété privée"
"02023";"Ponts Bernard (également sur commune de Breny)";"2001";"propriété de la commune"
"02024";"Château d'Arrancy";"2008";"propriété privée"
"02024";"Ancien château d'Arranceau";"1927";"propriété privée"
"02031";"Eglise Notre-Dame";"1994";"propriété de la commune"
"02031";"Manoir";"1978";"propriété privée"
"02035";"Château de l'Etang";"1927";"propriété privée"
"02036";"Eglise";"1921";"propriété de la commune"
"02037";"Ancien château féodal";"1927";"propriété privée"
"02040";"Eglise";"1987";"propriété de la commune"
"02042";"Eglise Saint-Félix";"1911";"propriété de la commune"
"02044";"Eglise";"1932";"propriété de la commune"
"02046";"Eglise";"1921";"propriété de la commune"
"02051";"Eglise";"1920";"propriété de la commune"
"02053";"Eglise";"1920";"propriété de la commune"
"02054";"Eglise";"1919";"propriété de la commune"
"02054";"Ancien château";"1927";"propriété privée"
"02057";"Ancien château";"1920";"propriété privée"
"02058";"Eglise Saint-Remi";"1927";"propriété de la commune"
"02062";"Mémorial Américain du Bois Belleau";"2017";"propriété de l'Etat"
"02064";"Eglise Saint-André";"1920";"propriété de la commune"
"02064";"Ancien manoir dit Fief des Tournelles";"1928";"propriété privée"
"02064";"Maisons de source et aqueduc";NA;NA
"02071";"Carrière de Chapeaumont";"2000";"propriété privée"
"02071";"Eglise";"1927";"propriété de la commune"
"02071";"Carrières dites de l'Infirmerie et du Premier Zouave";"1990";"propriété privée"
"02073";"Cote 108";"1937";NA
"02077";"Eglise";"1886";"propriété de la commune"
"02077";"Château";"1926";"propriété de la commune"
"02077";"Deux polissoirs de la Pointe des Roches";"1899";"propriété privée"
"02082";"Eglise";"1922";"propriété de la commune"
"02086";"Eglise Saint-Martin";"2018";"propriété de la commune"
"02089";"Eglise";"1927";"propriété de la commune"
"02090";"Eglise";"1922";"propriété de la commune"
"02091";"Eglise";"1921";"propriété de la commune"
"02093";"Ancien château";"1927";"propriété de la commune"
"02093";"Maison du conventionnel Saint-Just";"1987";"propriété de la commune"
"02093";"Château de Blérancourt, ancien château des Ducs de Gesvres, actuellement Musée national de la coopération franco-américaine ou Musée national des Deux-Guerres";"1925";"propriété de l'Etat ; propriété de la commune ; propriété privée"
"02093";"Ancien couvent des Feuillants";"1928";"propriété privée"
"02093";"Eglise";"1921";"propriété de la commune"
"02095";"Hôtel de ville";"2007";"propriété de la commune"
"02096";"Menhir dit Le Verziau de Gargantua";"1889";"propriété privée"
"02096";"Ancien château";"1927";"propriété privée"
"02098";"Eglise";"1921";"propriété de la commune"
"02099";"Eglise";"1920";"propriété de la commune"
"02101";"Ancien abri allemand dit du Kaiser";"1921";"propriété de la commune"
"02101";"Eglise Saint-Rémi";"1990";"propriété de la commune"
"02101";"Château de Chambly";"1966";"propriété privée"
"02102";"Réseau de tranchées";"1999";"propriété de l'Etat"
"02102";"Ancienne abbaye de Vauclair";"1970";"propriété de l'Etat"
"02106";"Eglise";"1919";"propriété de la commune"
"02108";"Vendangeoirs Hédouville et Cuzey";"1996";"propriété privée"
"02108";"Vendangeoir des Frères Le Nain";"2003";"propriété privée"
"02108";"Château";"2004";"propriété privée"
"02109";"Menhir dit La Haute-Ronde";"1889";"propriété privée"
"02109";"Eglise";"1927";"propriété de la commune"
"02110";"Ancienne abbaye de Saint-Yved";"1840";"propriété privée ; propriété de la commune"
"02110";"Château du Bas";"1927";"propriété privée"
"02110";"Maison à colombages du 15e siècle, dite espagnole";"1927";"propriété de la commune"
"02115";"Carrière de Froidmont";"1998";"propriété privée"
"02119";"Eglise";"1920";"propriété de la commune"
"02119";"Rocher gravé";"1975";"propriété privée"
"02119";"Château du Buisson";"1981";"propriété privée"
"02120";"Eglise";"1921";"propriété de la commune"
"02121";"Eglise";"1921";"propriété de la commune"
"02121";"Ponts Bernard";NA;NA
"02125";"Eglise Saint-Crépin";"1920";"propriété de la commune"
"02127";"Eglise";"1921";"propriété de la commune"
"02127";"Ancien chateau de Givray";"1928";"propriété privée"
"02127";"Abbaye du Val-Chrétien";"1928";"propriété privée"
"02128";"Eglise Notre-Dame";"1922";"propriété de la commune"
"02129";"Eglise";"1920";"propriété de la commune"
"02130";"Ancienne ferme de l'abbaye prémontrée de Bucilly";"2009";"propriété privée"
"02131";"Chapelle Sainte-Marguerite";"1920";"propriété de la commune"
"02131";"Eglise Saint-Martin";"1923";"propriété de la commune"
"02131";"Maison, en face du chemin de l'église";"1928";"propriété privée"
"02131";"Ancien château";"1926";"propriété privée"
"02134";"Tour Florentine";"1995";"propriété de la commune"
"02136";"Eglise";"1931";"propriété de la commune"
"02137";"Eglise";"1920";"propriété de la commune"
"02138";"Monument des Ecossais au Brisquet";"1922";"propriété d'un pays étranger"
"02140";"Eglise";"1921";"propriété de la commune"
"02140";"Croix dite Croix aux Héros";"1925";"propriété privée"
"02144";"Château de Caulaincourt";"1992";"propriété privée"
"02145";"Ancienne église Saint-Pierre";"1975";"propriété de la commune"
"02146";"Eglise";"1928";"propriété de la commune"
